,name,freeze_layer
88,bert.encoder.layer.5.attention.self.key.bias,True
89,bert.encoder.layer.5.attention.self.value.weight,True
90,bert.encoder.layer.5.attention.self.value.bias,True
91,bert.encoder.layer.5.attention.output.dense.weight,True
92,bert.encoder.layer.5.attention.output.dense.bias,True
93,bert.encoder.layer.5.attention.output.LayerNorm.weight,True
94,bert.encoder.layer.5.attention.output.LayerNorm.bias,True
95,bert.encoder.layer.5.intermediate.dense.weight,True
96,bert.encoder.layer.5.intermediate.dense.bias,True
97,bert.encoder.layer.5.output.dense.weight,True
98,bert.encoder.layer.5.output.dense.bias,True
99,bert.encoder.layer.5.output.LayerNorm.weight,True
100,bert.encoder.layer.5.output.LayerNorm.bias,True
101,bert.encoder.layer.6.attention.self.query.weight,True
102,bert.encoder.layer.6.attention.self.query.bias,True
103,bert.encoder.layer.6.attention.self.key.weight,True
104,bert.encoder.layer.6.attention.self.key.bias,True
105,bert.encoder.layer.6.attention.self.value.weight,True
106,bert.encoder.layer.6.attention.self.value.bias,True
107,bert.encoder.layer.6.attention.output.dense.weight,True
108,bert.encoder.layer.6.attention.output.dense.bias,True
109,bert.encoder.layer.6.attention.output.LayerNorm.weight,True
110,bert.encoder.layer.6.attention.output.LayerNorm.bias,True
111,bert.encoder.layer.6.intermediate.dense.weight,True
112,bert.encoder.layer.6.intermediate.dense.bias,True
113,bert.encoder.layer.6.output.dense.weight,False
114,bert.encoder.layer.6.output.dense.bias,False
115,bert.encoder.layer.6.output.LayerNorm.weight,True
116,bert.encoder.layer.6.output.LayerNorm.bias,True
117,bert.encoder.layer.7.attention.self.query.weight,True
118,bert.encoder.layer.7.attention.self.query.bias,True
119,bert.encoder.layer.7.attention.self.key.weight,True
120,bert.encoder.layer.7.attention.self.key.bias,True
121,bert.encoder.layer.7.attention.self.value.weight,True
122,bert.encoder.layer.7.attention.self.value.bias,True
123,bert.encoder.layer.7.attention.output.dense.weight,True
124,bert.encoder.layer.7.attention.output.dense.bias,True
125,bert.encoder.layer.7.attention.output.LayerNorm.weight,True
126,bert.encoder.layer.7.attention.output.LayerNorm.bias,True
127,bert.encoder.layer.7.intermediate.dense.weight,True
128,bert.encoder.layer.7.intermediate.dense.bias,True
129,bert.encoder.layer.7.output.dense.weight,True
130,bert.encoder.layer.7.output.dense.bias,True
131,bert.encoder.layer.7.output.LayerNorm.weight,True
132,bert.encoder.layer.7.output.LayerNorm.bias,True
133,bert.encoder.layer.8.attention.self.query.weight,True
134,bert.encoder.layer.8.attention.self.query.bias,True
135,bert.encoder.layer.8.attention.self.key.weight,True
136,bert.encoder.layer.8.attention.self.key.bias,True
137,bert.encoder.layer.8.attention.self.value.weight,False
138,bert.encoder.layer.8.attention.self.value.bias,False
139,bert.encoder.layer.8.attention.output.dense.weight,True
140,bert.encoder.layer.8.attention.output.dense.bias,True
141,bert.encoder.layer.8.attention.output.LayerNorm.weight,True
142,bert.encoder.layer.8.attention.output.LayerNorm.bias,True
143,bert.encoder.layer.8.intermediate.dense.weight,True
144,bert.encoder.layer.8.intermediate.dense.bias,True
145,bert.encoder.layer.8.output.dense.weight,True
146,bert.encoder.layer.8.output.dense.bias,True
147,bert.encoder.layer.8.output.LayerNorm.weight,True
148,bert.encoder.layer.8.output.LayerNorm.bias,True
149,bert.encoder.layer.9.attention.self.query.weight,True
150,bert.encoder.layer.9.attention.self.query.bias,True
151,bert.encoder.layer.9.attention.self.key.weight,True
152,bert.encoder.layer.9.attention.self.key.bias,True
153,bert.encoder.layer.9.attention.self.value.weight,True
154,bert.encoder.layer.9.attention.self.value.bias,True
155,bert.encoder.layer.9.attention.output.dense.weight,True
156,bert.encoder.layer.9.attention.output.dense.bias,True
157,bert.encoder.layer.9.attention.output.LayerNorm.weight,True
158,bert.encoder.layer.9.attention.output.LayerNorm.bias,True
159,bert.encoder.layer.9.intermediate.dense.weight,True
160,bert.encoder.layer.9.intermediate.dense.bias,True
161,bert.encoder.layer.9.output.dense.weight,True
162,bert.encoder.layer.9.output.dense.bias,True
163,bert.encoder.layer.9.output.LayerNorm.weight,True
164,bert.encoder.layer.9.output.LayerNorm.bias,True
165,bert.encoder.layer.10.attention.self.query.weight,True
166,bert.encoder.layer.10.attention.self.query.bias,True
167,bert.encoder.layer.10.attention.self.key.weight,True
168,bert.encoder.layer.10.attention.self.key.bias,True
169,bert.encoder.layer.10.attention.self.value.weight,True
170,bert.encoder.layer.10.attention.self.value.bias,True
171,bert.encoder.layer.10.attention.output.dense.weight,True
172,bert.encoder.layer.10.attention.output.dense.bias,True
173,bert.encoder.layer.10.attention.output.LayerNorm.weight,True
174,bert.encoder.layer.10.attention.output.LayerNorm.bias,True
175,bert.encoder.layer.10.intermediate.dense.weight,True
176,bert.encoder.layer.10.intermediate.dense.bias,True
177,bert.encoder.layer.10.output.dense.weight,True
178,bert.encoder.layer.10.output.dense.bias,True
179,bert.encoder.layer.10.output.LayerNorm.weight,True
180,bert.encoder.layer.10.output.LayerNorm.bias,True
181,bert.encoder.layer.11.attention.self.query.weight,True
182,bert.encoder.layer.11.attention.self.query.bias,True
183,bert.encoder.layer.11.attention.self.key.weight,True
184,bert.encoder.layer.11.attention.self.key.bias,True
185,bert.encoder.layer.11.attention.self.value.weight,True
186,bert.encoder.layer.11.attention.self.value.bias,True
187,bert.encoder.layer.11.attention.output.dense.weight,True
188,bert.encoder.layer.11.attention.output.dense.bias,True
189,bert.encoder.layer.11.attention.output.LayerNorm.weight,True
190,bert.encoder.layer.11.attention.output.LayerNorm.bias,True
191,bert.encoder.layer.11.intermediate.dense.weight,True
192,bert.encoder.layer.11.intermediate.dense.bias,True
193,bert.encoder.layer.11.output.dense.weight,True
194,bert.encoder.layer.11.output.dense.bias,True
195,bert.encoder.layer.11.output.LayerNorm.weight,True
196,bert.encoder.layer.11.output.LayerNorm.bias,True
197,bert.pooler.dense.weight,True
198,bert.pooler.dense.bias,True
199,new_layer.weight,False
200,new_layer.bias,False
201,classifier.weight,False
202,classifier.bias,False
